"Person_ID","Crash_Date","Crash_Location","Victim","Crash_Circumstances","Longitude","Latitude","Location"
"P471208","08/14/2025 11:30:00 PM","64 W LOWER WACKER DR","PASSENGER","UNIT 1 DISREGARDED TRAFFIC SIGNAL AND STRUCK LEFT-TURNING UNIT 2 AT A HIGH RATE OF SPEED. UNIT 1 PASSENGER DIED.","-87.63036787","41.8870693","POINT (-87.63036787 41.8870693)"
"O2124662","08/09/2025 03:23:00 AM","5454 S KEDZIE AVE","PEDESTRIAN","DRIVER DISREGARDED TRAFFIC SIGNAL AND STRUCK PEDESTRIAN IN CROSSWALK AT A HIGH RATE OF SPEED.","-87.70370646","41.7936741","POINT (-87.70370646 41.7936741)"
"O2123923","08/07/2025 10:00:00 PM","5300 S DORCHESTER AVE","MOTORCYCLIST","UNIT 1 DISREGARDED STOP SIGN AND STRUCK UNIT 2. UNIT 1 DRIVER DIED.","-87.59193171","41.79945686","POINT (-87.59193171 41.79945686)"
"O2123138","08/06/2025 07:30:00 PM","1498 W ESTES AVE","PEDESTRIAN","DRIVER STRUCK PEDESTRIAN AT INTERSECTION.","-87.66790612","42.01163875","POINT (-87.66790612 42.01163875)"
"O2120548","08/03/2025 04:08:00 AM","399 W 76TH ST","PEDESTRIAN","DRIVER STRUCK PEDESTRIAN AT INTERSECTION.","-87.63435476","41.75614578","POINT (-87.63435476 41.75614578)"
"O2120448","08/03/2025 12:16:00 AM","7458 S HALSTED ST","MOTORCYCLIST","UNIT 1 MADE A U-TURN AND STRUCK UNIT 2. UNIT 2 DRIVER DIED.","-87.6443802","41.7580757","POINT (-87.6443802 41.7580757)"
"O2119313","07/31/2025 06:53:00 PM","6300 S MORGAN ST","PEDESTRIAN","DRIVER DISREGARDED TRAFFIC SIGNAL AND STRUCK PEDESTRIAN IN ROADWAY AT A HIGH RATE OF SPEED.","-87.64978713","41.77958101","POINT (-87.64978713 41.77958101)"
"P467193","07/27/2025 03:50:00 AM","3800 W LAKE ST","PASSENGER","UNIT 1 DISREGARDED TRAFFIC SIGNAL AND STRUCK UNIT 2. UNIT 1 PASSENGER DIED.","-87.72098685","41.88531824","POINT (-87.72098685 41.88531824)"
"O2114961","07/26/2025 02:30:00 AM","1120 S CICERO AVE","PEDESTRIAN","DRIVER STRUCK PEDESTRIAN IN ROADWAY AT A HIGH RATE OF SPEED.","-87.74492803","41.86672762","POINT (-87.74492803 41.86672762)"
"O2113409","07/24/2025 12:47:00 PM","3303 S DR MARTIN LUTHER KING DR","PEDESTRIAN","DRIVER STRUCK PEDESTRIAN IN ROADWAY.","-87.61690181","41.83465621","POINT (-87.61690181 41.83465621)"
"O2114859","07/20/2025 09:52:00 PM","4435 W GRAND AVE","DRIVER","DRIVER LOST CONTROL AND STRUCK A POLE AT A HIGH RATE OF SPEED.","-87.73749494","41.91042629","POINT (-87.73749494 41.91042629)"
"O2105783","07/19/2025 11:19:00 PM","2000 S ASHLAND AVE","PEDESTRIAN","UNIT 1 OVERTOOK ANOTHER VEHICLE AT A HIGH RATE OF SPEED AND STRUCK PEDESTRIAN IN CROSSWALK.","-87.66621889","41.85501801","POINT (-87.66621889 41.85501801)"
"O2108511","07/17/2025 10:30:00 AM","640 N WESTERN AVE","DRIVER","DRIVER STRUCK A PARKED VEHICLE.","-87.68691682","41.89326754","POINT (-87.68691682 41.89326754)"
"O2105783","07/13/2025 06:40:00 AM","813 W ROOSEVELT RD","PEDESTRIAN","DRIVER UNDER THE INFLUENCE STRUCK PEDESTRIAN CROSSING MIDBLOCK.","-87.64752208","41.86703514","POINT (-87.64752208 41.86703514)"
"O2102574","07/08/2025 01:15:00 PM","9800 S DR MARTIN LUTHER KING JR DR","DRIVER","UNIT 1 SWERVED INTO ONCOMING TRAFFIC AND STRUCK UNITS 2 & 3 AT A HIGH RATE OF SPEED. UNIT 1 DRIVER DIED.","-87.61414776","41.71637791","POINT (-87.61414776 41.71637791)"
"O2100954","07/06/2025 01:07:00 AM","8102 W BELMONT AVE","DRIVER","UNIT 1 SIDESWIPED UNIT 2 WHILE ATTEMPTING TO OVERTAKE AT A HIGH RATE OF SPEED. UNIT 1 CRASHED INTO A PARKED VEHICLE AND DIED.","-87.82891628","41.93781168","POINT (-87.82891628 41.93781168)"
"O2100541","07/05/2025 02:47:00 PM","6300 S HALSTED ST","CYCLIST","CYCLIST DISREGARDED TRAFFIC SIGNAL AND WAS STRUCK IN THE INTERSECTION.","-87.64493099","41.7796575","POINT (-87.64493099 41.7796575)"
"O2100070","07/04/2025 02:10:00 AM","3201 N CUMBERLAND AVE","DRIVER","UNIT 1 DRIVER DISREGARDED TRAFFIC SIGNAL AND STRUCK UNIT 2 AT A HIGH RATE OF SPEED IN A STOLEN VEHICLE. UNIT 1 DRIVER DIED.","-87.83591581","41.93764432","POINT (-87.83591581 41.93764432)"
"O2095033","06/27/2025 11:42:00 PM","9035 S HALSTED ST","MOTORCYCLIST","UNIT 1 REAR-ENDED UNIT 2 AT A HIGH RATE OF SPEED. UNIT 1 DRIVER DIED.","-87.64329779","41.72973881","POINT (-87.64329779 41.72973881)"
"O2090660","06/22/2025 03:04:00 AM","11200 S STONY ISLAND AVE","DRIVER","UNIT 1 AND UNIT 2, DRIVING RECKLESSLY, COLLIDED HEAD-ON AT A HIGH RATE OF SPEED. BOTH DRIVERS AND ONE UNIT 2 PASSENGER DIED.","-87.57667637","41.69181501","POINT (-87.57667637 41.69181501)"
"P461560","06/22/2025 03:04:00 AM","11200 S STONY ISLAND AVE","PASSENGER","UNIT 1 AND UNIT 2, DRIVING RECKLESSLY, COLLIDED HEAD-ON AT A HIGH RATE OF SPEED. BOTH DRIVERS AND ONE UNIT 2 PASSENGER DIED.","-87.57667637","41.69181501","POINT (-87.57667637 41.69181501)"
"O2090659","06/22/2025 03:04:00 AM","11200 S STONY ISLAND AVE","DRIVER","UNIT 1 AND UNIT 2, DRIVING RECKLESSLY, COLLIDED HEAD-ON AT A HIGH RATE OF SPEED. BOTH DRIVERS AND ONE UNIT 2 PASSENGER DIED.","-87.57667637","41.69181501","POINT (-87.57667637 41.69181501)"
"O2089907","06/21/2025 03:32:00 AM","3655 N LAKE SHORE DR NB","PEDESTRIAN","DRIVER STRUCK PEDESTRIAN IN ROADWAY.","-87.6438021","41.95020649","POINT (-87.6438021 41.95020649)"
"O2091033","06/17/2025 07:50:00 PM","100 N CICERO AVE","MOTORCYCLIST","LEFT-TURNING UNIT 1 STRUCK ONCOMING UNIT 2. UNIT 2 DRIVER DIED.","-87.74548925","41.88187971","POINT (-87.74548925 41.88187971)"
"O2084846","06/14/2025 02:30:00 AM","13227 S TORRENCE AVE","MOTORCYCLIST","LEFT-TURNING UNIT 1 STRUCK ONCOMING UNIT 2. UNIT 2 DRIVER DIED.","-87.55915216","41.65473876","POINT (-87.55915216 41.65473876)"
"O2082397","06/10/2025 05:42:00 AM","4823 W DIVERSEY AVE","PEDESTRIAN","DRIVER TURNING LEFT FROM PARKING LOT STRUCK PEDESTRIAN MIDBLOCK.","-87.74755507","41.93141183","POINT (-87.74755507 41.93141183)"
"O2078776","06/05/2025 10:42:00 PM","1147 N CENTRAL AVE","DRIVER","DRIVER LOST CONTROL AND STRUCK A POLE.","-87.76549128","41.90169202","POINT (-87.76549128 41.90169202)"
"O2072109","05/27/2025 08:27:00 PM","2404 W JACKSON BLVD","DRIVER","UNIT 1 DISREGARDED TRAFFIC SIGNAL AND STRUCK UNIT 2. UNIT 2 DRIVER DIED.","-87.68656646","41.87765711","POINT (-87.68656646 41.87765711)"
"O2071683","05/26/2025 04:53:00 AM","150 N MICHIGAN AVE","CYCLIST","CYCLIST DISREGARDED TRAFFIC SIGNAL AND WAS STRUCK BY VEHICLE APPROACHING INTERSECTION AT A HIGH RATE OF SPEED.","-87.62460204","41.88453096","POINT (-87.62460204 41.88453096)"
"O2070250","05/24/2025 05:30:00 PM","5670 S ARCHER AVE","PEDESTRIAN","LEFT-TURNING UNIT 1 COLLIDED WITH UNIT 2 AT A HIGH RATE OF SPEED, FLIPPED, AND STRUCK A PEDESTRIAN IN CROSSWALK.","-87.75290065","41.79728657","POINT (-87.75290065 41.79728657)"
"O2064302","05/16/2025 12:08:00 PM","2151 S ASHLAND AVE","PEDESTRIAN","DRIVER TURNING RIGHT ON RED STRUCK PEDESTRIAN IN CROSSWALK.","-87.66587989","41.85264726","POINT (-87.66587989 41.85264726)"
"O2062157","05/13/2025 09:23:00 PM","7051 S WESTERN AVE","PEDESTRIAN","DRIVER UNDER THE INFLUENCE STRUCK PEDESTRIAN IN ROADWAY.","-87.68310415","41.76502053","POINT (-87.68310415 41.76502053)"
"P455058","05/12/2025 02:59:00 AM","4726 N WESTERN AVE","PASSENGER","DRIVER STRUCK UTILITY POLE AT A HIGH RATE OF SPEED. ONE PASSENGER DIED.","-87.68901736","41.96757216","POINT (-87.68901736 41.96757216)"
